id,nome,categoria,preco,estoque,fornecedor
1,Mesa de Escritório,Móveis,299.99,50,MoveisCorp
2,Teclado Mecânico,Periféricos,199.50,100,TechGear
3,Processador Intel,Hardware,1299.99,25,CompTech
4,Memória RAM 16GB,Componentes,299.99,75,MemoryPro
5,Mouse Gamer,Periféricos,89.99,200,GamingTech
6,Cadeira Ergonômica,Móveis,599.99,30,OfficeFurniture
7,SSD 1TB,Componentes,399.99,60,StorageMax
8,"Monitor 27""",Hardware,899.99,40,DisplayTech
9,Headset Bluetooth,Acessórios,159.99,150,AudioPro
10,Webcam HD,Acessórios,129.99,80,VideoTech
